x	y
	
0	0
	
-4.994405975	-0.236357068
	
-9.988812429	-0.472711361
	
-14.98321936	-0.709062884
	
-19.97762676	-0.945411634
	
-24.97203464	-1.181757612
	
-29.966443	-1.418100818
	
-34.96085184	-1.654441251
	
-39.95526114	-1.890778912
	
-44.94967093	-2.1271138
	
-49.9440812	-2.363445917
	
-54.93849194	-2.599775261
	
-59.93290315	-2.836101833
	
-64.92731484	-3.072425632
	
-69.92172701	-3.30874666
	
-74.91613966	-3.545064914
	
-79.91055278	-3.781380397
	
-84.90496637	-4.017693109
	
-89.89938045	-4.254003047
	
-94.893795	-4.490310212
	
-99.88821002	-4.726614606
	
-104.8826255	-4.962916227
	
-109.8770415	-5.199215077
	
-114.871458	-5.435511154
	
-119.8658749	-5.671804457
	
-124.8602923	-5.90809499
	
-129.8547102	-6.144382748
	
-134.8487012	-6.389159206
	
-139.8417453	-6.652753848
	
-144.83479	-6.916345721
	
-149.8278352	-7.179934827
	
-154.8208809	-7.443521161
	
-159.8139272	-7.707104726
	
-164.8069739	-7.970685523
	
-169.8000211	-8.234263551
	
-174.7930688	-8.497838809
	
-179.7861171	-8.761411296
	
-184.7791658	-9.024981018
	
-189.7722151	-9.288547967
	
-194.7652648	-9.552112149
	
-199.7583151	-9.81567356
	
-204.7513659	-10.0792322
	
-209.7444171	-10.34278808
	
-214.7374689	-10.60634118
	
-219.7302256	-10.87530315
	
-224.7224085	-11.15477311
	
-229.7145919	-11.43424031
	
-234.7067759	-11.71370473
	
-239.6989604	-11.99316639
	
-244.6930732	-12.16471256
	
-249.6920541	-12.06377571
	
-254.691035	-11.96283605
	
-259.6900161	-11.86189361
	
-264.6889973	-11.76094836
	
-269.6726834	-11.36333496
	
-274.6555414	-10.94966133
	
-279.6383992	-10.5359849
	
-284.5956627	-9.911473837
	
-289.5327675	-9.12090593
	
-294.4698716	-8.330335257
	
-299.1763041	-6.768432784
	
-303.7368373	-4.718667911
	
-307.5083304	-1.612174667
	
-310.7692029	2.178169636
	
-313.4519472	6.36070918
	
-315.7683655	10.79175946
	
-317.8588434	15.31463411
	
-319.290248	20.10536284
	
-320.7216508	24.89609189
	
-321.743674	29.78469517
	
-322.6339278	34.70480169
	
-323.4491699	39.63683323
	
-324.1285966	44.59045609
	
-324.8080223	49.54407907
	
-325.365628	54.51280838
	
-325.9167266	59.4823446
	
-326.4678243	64.45188093
	
-327.0189211	69.42141735
	
-327.5700171	74.39095387
	
-328.1211121	79.3604905
	
-328.6722062	84.33002722
	
-329.2232995	89.29956405
	
-329.7743918	94.26910097
	
-330.3254833	99.23863799
	
-330.8765739	104.2081751
	
-331.4276636	109.1777123
	
-331.9787523	114.1472497
	
-332.5818624	119.1103901
	
-333.2511604	124.0653918
	
-333.9204574	129.0203935
	
-334.5897533	133.9753954
	
-335.2590482	138.9303974
	
-335.9283421	143.8853996
	
-336.597635	148.8404018
	
-337.2669269	153.7954042
	
-337.9362177	158.7504067
	
-338.6055076	163.7054093
	
-339.2747964	168.660412
	
-339.9440842	173.6154149
	
-340.6133709	178.5704179
	
-341.2826567	183.525421
	
-341.9519414	188.4804242
	
-342.6191926	193.4356996
	
-343.2764848	198.3923082
	
-343.9337761	203.3489168
	
-344.5910663	208.3055256
	
-345.2483556	213.2621345
	
-345.9056438	218.2187435
	
-346.5629311	223.1753526
	
-347.2202173	228.1319619
	
-347.8775025	233.0885712
	
-348.5347867	238.0451807
	
-349.19207	243.0017903
	
-349.8493522	247.9584001
	
-350.5066334	252.9150099
	
-351.1639136	257.8716199
	
-351.8211928	262.82823
	
-352.4784709	267.7848402
	
-353.1357481	272.7414505
	
-353.7930243	277.698061
	
-354.4502995	282.6546715
	
-355.1075736	287.6112822
	
-355.7624229	292.5682109
	
-356.4053953	297.5266973
	
-357.0483668	302.4851838
	
-357.6913373	307.4436704
	
-358.3343068	312.4021571
	
-358.9772753	317.3606439
	
-359.6202428	322.3191309
	
-360.2632093	327.2776179
	
-360.9061749	332.2361051
	
-361.5491394	337.1945924
	
-362.1921029	342.1530799
	
-362.8350655	347.1115674
	
-363.4780271	352.0700551
	
-363.9487895	357.0452367
	
-364.2702592	362.0348917
	
-364.5917283	367.0245468
	
-364.5798906	372.0223283
	
-364.5019678	377.0217211
	
-364.0724849	381.9922749
	
-363.3346343	386.9375329
	
-362.5967842	391.882791
	
